1772086233306: GET: /api/users      
1772086256143: GET: /api/users/504
1772086298859: GET: /api/users/501
 1772086380153: GET: /users
 1772086429154: ::1 GET: /api/users/500
        1772087834867: ::1 GET: /api/users
        1772088644189: ::1 GET: /api/users
        1772088792328: ::1 GET: /api/users
        1772088970573: ::1 GET: /api/users
        1772090782513: ::1 POST: /api/users
1772091118701: ::1 POST: /api/users
1772091154683: ::1 GET: /api/users
1772091687959: ::1 GET: /api/users/44
1772092842501: ::1 GET: /api/users
1772092869934: ::1 GET: /api/users
1772092879832: ::1 GET: /api/users
1772093169768: ::1 POST: /api/users
1772093175899: ::1 POST: /api/users
1772093180427: ::1 POST: /api/users
1772093376524: ::1 GET: /api/users/577
1772093473738: ::1 GET: /api/users/577
1772093485625: ::1 GET: /api/users/577
1772094022284: ::1 GET: /api/users/504
1772094022691: ::1 GET: /favicon.ico
1772094034727: ::1 GET: /api/users/1111
